Date,Bar Name,Brand Name,Consumed (ml)
2024-02-24,Executive Lounge,Chartreuse Herbal Liqueur,42.2
2024-02-25,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-02-26,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-02-27,Executive Lounge,Chartreuse Herbal Liqueur,38.9
2024-02-28,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-02-29,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-03-01,Executive Lounge,Chartreuse Herbal Liqueur,33.8
2024-03-02,Executive Lounge,Chartreuse Herbal Liqueur,34.2
2024-03-03,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-03-04,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-03-05,Executive Lounge,Chartreuse Herbal Liqueur,27.0
2024-03-06,Executive Lounge,Chartreuse Herbal Liqueur,20.3
2024-03-07,Executive Lounge,Chartreuse Herbal Liqueur,32.1
2024-03-08,Executive Lounge,Chartreuse Herbal Liqueur,27.0
2024-03-09,Executive Lounge,Chartreuse Herbal Liqueur,37.2
2024-03-10,Executive Lounge,Chartreuse Herbal Liqueur,32.5
2024-03-11,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-03-12,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-03-13,Executive Lounge,Chartreuse Herbal Liqueur,19.7
2024-03-14,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-03-15,Executive Lounge,Chartreuse Herbal Liqueur,20.8
2024-03-16,Executive Lounge,Chartreuse Herbal Liqueur,58.1
2024-03-17,Executive Lounge,Chartreuse Herbal Liqueur,8.4
2024-03-18,Executive Lounge,Chartreuse Herbal Liqueur,24.0
2024-03-19,Executive Lounge,Chartreuse Herbal Liqueur,36.6
2024-03-20,Executive Lounge,Chartreuse Herbal Liqueur,60.5
2024-03-21,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-03-22,Executive Lounge,Chartreuse Herbal Liqueur,40.2
2024-03-23,Executive Lounge,Chartreuse Herbal Liqueur,35.3
2024-03-24,Executive Lounge,Chartreuse Herbal Liqueur,42.7
2024-03-25,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-03-26,Executive Lounge,Chartreuse Herbal Liqueur,30.9
2024-03-27,Executive Lounge,Chartreuse Herbal Liqueur,35.9
2024-03-28,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-03-29,Executive Lounge,Chartreuse Herbal Liqueur,28.6
2024-03-30,Executive Lounge,Chartreuse Herbal Liqueur,76.5
2024-03-31,Executive Lounge,Chartreuse Herbal Liqueur,62.6
2024-04-01,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-04-02,Executive Lounge,Chartreuse Herbal Liqueur,17.5
2024-04-03,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-04-04,Executive Lounge,Chartreuse Herbal Liqueur,38.8
2024-04-05,Executive Lounge,Chartreuse Herbal Liqueur,57.9
2024-04-06,Executive Lounge,Chartreuse Herbal Liqueur,23.4
2024-04-07,Executive Lounge,Chartreuse Herbal Liqueur,62.6
2024-04-08,Executive Lounge,Chartreuse Herbal Liqueur,45.2
2024-04-09,Executive Lounge,Chartreuse Herbal Liqueur,52.3
2024-04-10,Executive Lounge,Chartreuse Herbal Liqueur,37.1
2024-04-11,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-04-12,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-04-13,Executive Lounge,Chartreuse Herbal Liqueur,61.1
2024-04-14,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-04-15,Executive Lounge,Chartreuse Herbal Liqueur,41.3
2024-04-16,Executive Lounge,Chartreuse Herbal Liqueur,17.9
2024-04-17,Executive Lounge,Chartreuse Herbal Liqueur,48.6
2024-04-18,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-04-19,Executive Lounge,Chartreuse Herbal Liqueur,64.4
2024-04-20,Executive Lounge,Chartreuse Herbal Liqueur,41.6
2024-04-21,Executive Lounge,Chartreuse Herbal Liqueur,63.9
2024-04-22,Executive Lounge,Chartreuse Herbal Liqueur,13.7
2024-04-23,Executive Lounge,Chartreuse Herbal Liqueur,10.4
2024-04-24,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-04-25,Executive Lounge,Chartreuse Herbal Liqueur,13.2
2024-04-26,Executive Lounge,Chartreuse Herbal Liqueur,34.4
2024-04-27,Executive Lounge,Chartreuse Herbal Liqueur,44.3
2024-04-28,Executive Lounge,Chartreuse Herbal Liqueur,32.3
2024-04-29,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-04-30,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-05-01,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-05-02,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-05-03,Executive Lounge,Chartreuse Herbal Liqueur,41.9
2024-05-04,Executive Lounge,Chartreuse Herbal Liqueur,4.6
2024-05-05,Executive Lounge,Chartreuse Herbal Liqueur,25.7
2024-05-06,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-05-07,Executive Lounge,Chartreuse Herbal Liqueur,28.5
2024-05-08,Executive Lounge,Chartreuse Herbal Liqueur,32.4
2024-05-09,Executive Lounge,Chartreuse Herbal Liqueur,42.8
2024-05-10,Executive Lounge,Chartreuse Herbal Liqueur,15.1
2024-05-11,Executive Lounge,Chartreuse Herbal Liqueur,14.1
2024-05-12,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-05-13,Executive Lounge,Chartreuse Herbal Liqueur,66.6
2024-05-14,Executive Lounge,Chartreuse Herbal Liqueur,46.6
2024-05-15,Executive Lounge,Chartreuse Herbal Liqueur,45.0
2024-05-16,Executive Lounge,Chartreuse Herbal Liqueur,15.0
2024-05-17,Executive Lounge,Chartreuse Herbal Liqueur,63.7
2024-05-18,Executive Lounge,Chartreuse Herbal Liqueur,37.1
2024-05-19,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-05-20,Executive Lounge,Chartreuse Herbal Liqueur,54.4
2024-05-21,Executive Lounge,Chartreuse Herbal Liqueur,4.6
2024-05-22,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-05-23,Executive Lounge,Chartreuse Herbal Liqueur,83.8
2024-05-24,Executive Lounge,Chartreuse Herbal Liqueur,19.4
2024-05-25,Executive Lounge,Chartreuse Herbal Liqueur,55.4
2024-05-26,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-05-27,Executive Lounge,Chartreuse Herbal Liqueur,55.2
2024-05-28,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-05-29,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-05-30,Executive Lounge,Chartreuse Herbal Liqueur,46.5
2024-05-31,Executive Lounge,Chartreuse Herbal Liqueur,63.7
2024-06-01,Executive Lounge,Chartreuse Herbal Liqueur,44.9
2024-06-02,Executive Lounge,Chartreuse Herbal Liqueur,22.3
2024-06-03,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-06-04,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-06-05,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-06-06,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-06-07,Executive Lounge,Chartreuse Herbal Liqueur,19.7
2024-06-08,Executive Lounge,Chartreuse Herbal Liqueur,19.9
2024-06-09,Executive Lounge,Chartreuse Herbal Liqueur,42.7
2024-06-10,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-06-11,Executive Lounge,Chartreuse Herbal Liqueur,68.6
2024-06-12,Executive Lounge,Chartreuse Herbal Liqueur,37.7
2024-06-13,Executive Lounge,Chartreuse Herbal Liqueur,14.3
2024-06-14,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-06-15,Executive Lounge,Chartreuse Herbal Liqueur,29.4
2024-06-16,Executive Lounge,Chartreuse Herbal Liqueur,6.7
2024-06-17,Executive Lounge,Chartreuse Herbal Liqueur,52.4
2024-06-18,Executive Lounge,Chartreuse Herbal Liqueur,31.5
2024-06-19,Executive Lounge,Chartreuse Herbal Liqueur,45.5
2024-06-20,Executive Lounge,Chartreuse Herbal Liqueur,37.6
2024-06-21,Executive Lounge,Chartreuse Herbal Liqueur,69.0
2024-06-22,Executive Lounge,Chartreuse Herbal Liqueur,56.7
2024-06-23,Executive Lounge,Chartreuse Herbal Liqueur,48.9
2024-06-24,Executive Lounge,Chartreuse Herbal Liqueur,57.6
2024-06-25,Executive Lounge,Chartreuse Herbal Liqueur,37.5
2024-06-26,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-06-27,Executive Lounge,Chartreuse Herbal Liqueur,21.5
2024-06-28,Executive Lounge,Chartreuse Herbal Liqueur,69.9
2024-01-01,Executive Lounge,Grey Goose Vodka,466.7
2024-01-02,Executive Lounge,Grey Goose Vodka,762.3
2024-01-03,Executive Lounge,Grey Goose Vodka,880.8
2024-01-04,Executive Lounge,Grey Goose Vodka,711.3
2024-01-05,Executive Lounge,Grey Goose Vodka,1182.4
2024-01-06,Executive Lounge,Grey Goose Vodka,1259.6
2024-01-07,Executive Lounge,Grey Goose Vodka,715.4
2024-01-08,Executive Lounge,Grey Goose Vodka,360.4
2024-01-09,Executive Lounge,Grey Goose Vodka,478.7
2024-01-10,Executive Lounge,Grey Goose Vodka,650.8
2024-01-11,Executive Lounge,Grey Goose Vodka,665.6
2024-01-12,Executive Lounge,Grey Goose Vodka,1337.2
2024-01-13,Executive Lounge,Grey Goose Vodka,1479.7
2024-01-14,Executive Lounge,Grey Goose Vodka,580.7
2024-01-15,Executive Lounge,Grey Goose Vodka,434.2
2024-01-16,Executive Lounge,Grey Goose Vodka,598.3
2024-01-17,Executive Lounge,Grey Goose Vodka,228.9
2024-01-18,Executive Lounge,Grey Goose Vodka,960.6
2024-01-19,Executive Lounge,Grey Goose Vodka,1558.5
2024-01-20,Executive Lounge,Grey Goose Vodka,1190.3
2024-01-21,Executive Lounge,Grey Goose Vodka,741.4
2024-01-22,Executive Lounge,Grey Goose Vodka,295.1
2024-01-23,Executive Lounge,Grey Goose Vodka,520.3
2024-01-24,Executive Lounge,Grey Goose Vodka,432.5
2024-01-25,Executive Lounge,Grey Goose Vodka,652.1
2024-01-26,Executive Lounge,Grey Goose Vodka,1273.1
2024-01-27,Executive Lounge,Grey Goose Vodka,1340.7
2024-01-28,Executive Lounge,Grey Goose Vodka,797.6
2024-01-29,Executive Lounge,Grey Goose Vodka,592.7
2024-01-30,Executive Lounge,Grey Goose Vodka,429.6
2024-01-31,Executive Lounge,Grey Goose Vodka,470.2
2024-02-01,Executive Lounge,Grey Goose Vodka,0.0
2024-02-02,Executive Lounge,Grey Goose Vodka,1305.8
2024-02-03,Executive Lounge,Grey Goose Vodka,1124.2
2024-02-04,Executive Lounge,Grey Goose Vodka,403.7
2024-02-05,Executive Lounge,Grey Goose Vodka,549.7
2024-02-06,Executive Lounge,Grey Goose Vodka,780.1
2024-02-07,Executive Lounge,Grey Goose Vodka,462.4
2024-02-08,Executive Lounge,Grey Goose Vodka,645.1
2024-02-09,Executive Lounge,Grey Goose Vodka,1281.4
2024-02-10,Executive Lounge,Grey Goose Vodka,1133.4
2024-02-11,Executive Lounge,Grey Goose Vodka,640.8
2024-02-12,Executive Lounge,Grey Goose Vodka,490.8
2024-02-13,Executive Lounge,Grey Goose Vodka,532.8
2024-02-14,Executive Lounge,Grey Goose Vodka,457.6
2024-02-15,Executive Lounge,Grey Goose Vodka,834.4
2024-02-16,Executive Lounge,Grey Goose Vodka,1316.3
2024-02-17,Executive Lounge,Grey Goose Vodka,1443.8
2024-02-18,Executive Lounge,Grey Goose Vodka,525.3
2024-02-19,Executive Lounge,Grey Goose Vodka,769.4
2024-02-20,Executive Lounge,Grey Goose Vodka,613.4
2024-02-21,Executive Lounge,Grey Goose Vodka,656.5
2024-02-22,Executive Lounge,Grey Goose Vodka,487.6
2024-02-23,Executive Lounge,Grey Goose Vodka,1149.9
2024-02-24,Executive Lounge,Grey Goose Vodka,1163.3
2024-02-25,Executive Lounge,Grey Goose Vodka,650.1
2024-02-26,Executive Lounge,Grey Goose Vodka,434.3
2024-02-27,Executive Lounge,Grey Goose Vodka,791.0
2024-02-28,Executive Lounge,Grey Goose Vodka,651.7
2024-02-29,Executive Lounge,Grey Goose Vodka,436.6
2024-03-01,Executive Lounge,Grey Goose Vodka,1140.7
2024-03-02,Executive Lounge,Grey Goose Vodka,1055.0
2024-03-03,Executive Lounge,Grey Goose Vodka,696.0
2024-03-04,Executive Lounge,Grey Goose Vodka,871.7
2024-03-05,Executive Lounge,Grey Goose Vodka,317.7
2024-03-06,Executive Lounge,Grey Goose Vodka,183.5
2024-03-07,Executive Lounge,Grey Goose Vodka,471.5
2024-03-08,Executive Lounge,Grey Goose Vodka,1389.3
2024-03-09,Executive Lounge,Grey Goose Vodka,1338.6
2024-03-10,Executive Lounge,Grey Goose Vodka,284.5
2024-03-11,Executive Lounge,Grey Goose Vodka,617.3
2024-03-12,Executive Lounge,Grey Goose Vodka,903.1
2024-03-13,Executive Lounge,Grey Goose Vodka,174.1
2024-03-14,Executive Lounge,Grey Goose Vodka,403.1
2024-03-15,Executive Lounge,Grey Goose Vodka,1378.4
2024-03-16,Executive Lounge,Grey Goose Vodka,1124.5
2024-03-17,Executive Lounge,Grey Goose Vodka,416.6
2024-03-18,Executive Lounge,Grey Goose Vodka,467.8
2024-03-19,Executive Lounge,Grey Goose Vodka,990.8
2024-03-20,Executive Lounge,Grey Goose Vodka,604.9
2024-03-21,Executive Lounge,Grey Goose Vodka,468.1
2024-03-22,Executive Lounge,Grey Goose Vodka,1189.1
2024-03-23,Executive Lounge,Grey Goose Vodka,1371.0
2024-03-24,Executive Lounge,Grey Goose Vodka,711.2
2024-03-25,Executive Lounge,Grey Goose Vodka,420.4
2024-03-26,Executive Lounge,Grey Goose Vodka,354.2
2024-03-27,Executive Lounge,Grey Goose Vodka,461.0
2024-03-28,Executive Lounge,Grey Goose Vodka,769.6
2024-03-29,Executive Lounge,Grey Goose Vodka,1505.1
2024-03-30,Executive Lounge,Grey Goose Vodka,1328.3
2024-03-31,Executive Lounge,Grey Goose Vodka,582.2
2024-04-01,Executive Lounge,Grey Goose Vodka,709.3
2024-04-02,Executive Lounge,Grey Goose Vodka,740.9
2024-04-03,Executive Lounge,Grey Goose Vodka,370.3
2024-04-04,Executive Lounge,Grey Goose Vodka,642.2
2024-04-05,Executive Lounge,Grey Goose Vodka,1458.4
2024-04-06,Executive Lounge,Grey Goose Vodka,1270.2
2024-04-07,Executive Lounge,Grey Goose Vodka,794.4
2024-04-08,Executive Lounge,Grey Goose Vodka,732.2
2024-04-09,Executive Lounge,Grey Goose Vodka,838.4
2024-04-10,Executive Lounge,Grey Goose Vodka,375.7
2024-04-11,Executive Lounge,Grey Goose Vodka,667.2
2024-04-12,Executive Lounge,Grey Goose Vodka,1260.6
2024-04-13,Executive Lounge,Grey Goose Vodka,1240.0
2024-04-14,Executive Lounge,Grey Goose Vodka,639.4
2024-04-15,Executive Lounge,Grey Goose Vodka,361.3
2024-04-16,Executive Lounge,Grey Goose Vodka,973.9
2024-04-17,Executive Lounge,Grey Goose Vodka,637.9
2024-04-18,Executive Lounge,Grey Goose Vodka,352.1
2024-04-19,Executive Lounge,Grey Goose Vodka,1028.2
2024-04-20,Executive Lounge,Grey Goose Vodka,1493.3
2024-04-21,Executive Lounge,Grey Goose Vodka,489.1
2024-04-22,Executive Lounge,Grey Goose Vodka,537.0
2024-04-23,Executive Lounge,Grey Goose Vodka,764.8
2024-04-24,Executive Lounge,Grey Goose Vodka,536.8
2024-04-25,Executive Lounge,Grey Goose Vodka,569.3
2024-04-26,Executive Lounge,Grey Goose Vodka,1338.0
2024-04-27,Executive Lounge,Grey Goose Vodka,1285.1
2024-04-28,Executive Lounge,Grey Goose Vodka,730.3
2024-04-29,Executive Lounge,Grey Goose Vodka,563.3
2024-04-30,Executive Lounge,Grey Goose Vodka,661.6
2024-05-01,Executive Lounge,Grey Goose Vodka,586.6
2024-05-02,Executive Lounge,Grey Goose Vodka,705.5
2024-05-03,Executive Lounge,Grey Goose Vodka,1236.7
2024-05-04,Executive Lounge,Grey Goose Vodka,1868.4
2024-05-05,Executive Lounge,Grey Goose Vodka,122.8
2024-05-06,Executive Lounge,Grey Goose Vodka,155.0
2024-05-07,Executive Lounge,Grey Goose Vodka,781.5
2024-05-08,Executive Lounge,Grey Goose Vodka,646.9
2024-05-09,Executive Lounge,Grey Goose Vodka,485.3
2024-05-10,Executive Lounge,Grey Goose Vodka,1354.1
2024-05-11,Executive Lounge,Grey Goose Vodka,1530.9
2024-05-12,Executive Lounge,Grey Goose Vodka,802.1
2024-05-13,Executive Lounge,Grey Goose Vodka,361.7
2024-05-14,Executive Lounge,Grey Goose Vodka,1026.6
2024-05-15,Executive Lounge,Grey Goose Vodka,84.3
2024-05-16,Executive Lounge,Grey Goose Vodka,880.8
2024-05-17,Executive Lounge,Grey Goose Vodka,1010.9
2024-05-18,Executive Lounge,Grey Goose Vodka,1358.3
2024-05-19,Executive Lounge,Grey Goose Vodka,424.4
2024-05-20,Executive Lounge,Grey Goose Vodka,330.1
2024-05-21,Executive Lounge,Grey Goose Vodka,439.5
2024-05-22,Executive Lounge,Grey Goose Vodka,747.5
2024-05-23,Executive Lounge,Grey Goose Vodka,269.0
2024-05-24,Executive Lounge,Grey Goose Vodka,1413.4
2024-05-25,Executive Lounge,Grey Goose Vodka,1375.1
2024-05-26,Executive Lounge,Grey Goose Vodka,709.2
2024-05-27,Executive Lounge,Grey Goose Vodka,695.4
2024-05-28,Executive Lounge,Grey Goose Vodka,290.9
2024-05-29,Executive Lounge,Grey Goose Vodka,385.3
2024-05-30,Executive Lounge,Grey Goose Vodka,670.5
2024-05-31,Executive Lounge,Grey Goose Vodka,1330.5
2024-06-01,Executive Lounge,Grey Goose Vodka,1289.8
2024-06-02,Executive Lounge,Grey Goose Vodka,550.6
2024-06-03,Executive Lounge,Grey Goose Vodka,309.2
2024-06-04,Executive Lounge,Grey Goose Vodka,428.6
2024-06-05,Executive Lounge,Grey Goose Vodka,454.0
2024-06-06,Executive Lounge,Grey Goose Vodka,482.8
2024-06-07,Executive Lounge,Grey Goose Vodka,1238.4
2024-06-08,Executive Lounge,Grey Goose Vodka,1870.5
2024-06-09,Executive Lounge,Grey Goose Vodka,870.2
2024-06-10,Executive Lounge,Grey Goose Vodka,756.5
2024-06-11,Executive Lounge,Grey Goose Vodka,658.5
2024-06-12,Executive Lounge,Grey Goose Vodka,685.6
2024-06-13,Executive Lounge,Grey Goose Vodka,769.6
2024-06-14,Executive Lounge,Grey Goose Vodka,1436.2
2024-06-15,Executive Lounge,Grey Goose Vodka,1373.5
2024-06-16,Executive Lounge,Grey Goose Vodka,775.6
2024-06-17,Executive Lounge,Grey Goose Vodka,696.0
2024-06-18,Executive Lounge,Grey Goose Vodka,550.9
2024-06-19,Executive Lounge,Grey Goose Vodka,492.2
2024-06-20,Executive Lounge,Grey Goose Vodka,598.0
2024-06-21,Executive Lounge,Grey Goose Vodka,1129.2
2024-06-22,Executive Lounge,Grey Goose Vodka,1083.8
2024-06-23,Executive Lounge,Grey Goose Vodka,703.2
2024-06-24,Executive Lounge,Grey Goose Vodka,491.2
2024-06-25,Executive Lounge,Grey Goose Vodka,969.7
2024-06-26,Executive Lounge,Grey Goose Vodka,610.5
2024-06-27,Executive Lounge,Grey Goose Vodka,769.5
2024-06-28,Executive Lounge,Grey Goose Vodka,937.5
2024-01-01,Executive Lounge,Hendrick's Gin,440.3
2024-01-02,Executive Lounge,Hendrick's Gin,514.5
2024-01-03,Executive Lounge,Hendrick's Gin,505.6
2024-01-04,Executive Lounge,Hendrick's Gin,502.5
2024-01-05,Executive Lounge,Hendrick's Gin,1053.8
2024-01-06,Executive Lounge,Hendrick's Gin,718.0
2024-01-07,Executive Lounge,Hendrick's Gin,304.0
2024-01-08,Executive Lounge,Hendrick's Gin,355.1
2024-01-09,Executive Lounge,Hendrick's Gin,237.4
2024-01-10,Executive Lounge,Hendrick's Gin,424.9
2024-01-11,Executive Lounge,Hendrick's Gin,457.5
2024-01-12,Executive Lounge,Hendrick's Gin,838.8
2024-01-13,Executive Lounge,Hendrick's Gin,928.2
2024-01-14,Executive Lounge,Hendrick's Gin,287.9
2024-01-15,Executive Lounge,Hendrick's Gin,391.2
2024-01-16,Executive Lounge,Hendrick's Gin,266.3
2024-01-17,Executive Lounge,Hendrick's Gin,371.7
2024-01-18,Executive Lounge,Hendrick's Gin,452.4
2024-01-19,Executive Lounge,Hendrick's Gin,460.8
2024-01-20,Executive Lounge,Hendrick's Gin,976.4
2024-01-21,Executive Lounge,Hendrick's Gin,315.7
2024-01-22,Executive Lounge,Hendrick's Gin,510.4
2024-01-23,Executive Lounge,Hendrick's Gin,615.9
2024-01-24,Executive Lounge,Hendrick's Gin,266.6
2024-01-25,Executive Lounge,Hendrick's Gin,384.9
2024-01-26,Executive Lounge,Hendrick's Gin,770.8
2024-01-27,Executive Lounge,Hendrick's Gin,813.8
2024-01-28,Executive Lounge,Hendrick's Gin,388.7
2024-01-29,Executive Lounge,Hendrick's Gin,601.1
2024-01-30,Executive Lounge,Hendrick's Gin,183.3
2024-01-31,Executive Lounge,Hendrick's Gin,133.8
2024-02-01,Executive Lounge,Hendrick's Gin,527.9
2024-02-02,Executive Lounge,Hendrick's Gin,813.2
2024-02-03,Executive Lounge,Hendrick's Gin,1037.0
2024-02-04,Executive Lounge,Hendrick's Gin,402.3
2024-02-05,Executive Lounge,Hendrick's Gin,450.2
2024-02-06,Executive Lounge,Hendrick's Gin,506.1
2024-02-07,Executive Lounge,Hendrick's Gin,292.6
2024-02-08,Executive Lounge,Hendrick's Gin,560.3
2024-02-09,Executive Lounge,Hendrick's Gin,787.3
2024-02-10,Executive Lounge,Hendrick's Gin,728.5
2024-02-11,Executive Lounge,Hendrick's Gin,360.6
2024-02-12,Executive Lounge,Hendrick's Gin,440.8
2024-02-13,Executive Lounge,Hendrick's Gin,426.9
2024-02-14,Executive Lounge,Hendrick's Gin,226.6
2024-02-15,Executive Lounge,Hendrick's Gin,263.6
2024-02-16,Executive Lounge,Hendrick's Gin,799.2
2024-02-17,Executive Lounge,Hendrick's Gin,750.7
2024-02-18,Executive Lounge,Hendrick's Gin,296.4
2024-02-19,Executive Lounge,Hendrick's Gin,537.5
2024-02-20,Executive Lounge,Hendrick's Gin,388.2
2024-02-21,Executive Lounge,Hendrick's Gin,281.8
2024-02-22,Executive Lounge,Hendrick's Gin,581.3
2024-02-23,Executive Lounge,Hendrick's Gin,945.2
2024-02-24,Executive Lounge,Hendrick's Gin,675.1
2024-02-25,Executive Lounge,Hendrick's Gin,514.8
2024-02-26,Executive Lounge,Hendrick's Gin,542.9
2024-02-27,Executive Lounge,Hendrick's Gin,522.7
2024-02-28,Executive Lounge,Hendrick's Gin,98.7
2024-02-29,Executive Lounge,Hendrick's Gin,264.0
2024-03-01,Executive Lounge,Hendrick's Gin,871.5
2024-03-02,Executive Lounge,Hendrick's Gin,758.7
2024-03-03,Executive Lounge,Hendrick's Gin,407.2
2024-03-04,Executive Lounge,Hendrick's Gin,355.4
2024-03-05,Executive Lounge,Hendrick's Gin,209.4
2024-03-06,Executive Lounge,Hendrick's Gin,437.4
2024-03-07,Executive Lounge,Hendrick's Gin,322.1
2024-03-08,Executive Lounge,Hendrick's Gin,798.6
2024-03-09,Executive Lounge,Hendrick's Gin,850.0
2024-03-10,Executive Lounge,Hendrick's Gin,531.9
2024-03-11,Executive Lounge,Hendrick's Gin,425.9
2024-03-12,Executive Lounge,Hendrick's Gin,186.2
2024-03-13,Executive Lounge,Hendrick's Gin,529.6
2024-03-14,Executive Lounge,Hendrick's Gin,369.7
2024-03-15,Executive Lounge,Hendrick's Gin,1162.5
